dataset,epoch,train_loss,test_loss,test_mIoU,test_veg_IoU,test_F1,test_Accuracy,lr
zijinshan,1,0.8322889400062277,0.4062150747918371,0.7227599401094232,0.7962231804110272,0.8865526167286502,0.8520434862998109,0.0009997532801828658
zijinshan,2,0.35381005637681306,0.4047350234060145,0.7235928336531567,0.7860022194117069,0.8801805629005421,0.8490428257039218,0.0009990133642141358
zijinshan,3,0.29583464496171297,0.3687784631750477,0.7434814625711534,0.8120703538990227,0.8962900939819417,0.8648109091548266,0.00099778098230154
zijinshan,4,0.2736629007467583,0.37083575262952206,0.7465906001086302,0.8161046691043975,0.8987418875001905,0.867278687583534,0.000996057350657239
zijinshan,5,0.26765774835401507,0.37895029516362433,0.745915554261289,0.8122781229943143,0.8964166290902831,0.8657298249587767,0.0009938441702975688
zijinshan,6,0.25692463721801984,0.3895798690283476,0.7415458132303661,0.8059564651765003,0.8925535922016065,0.8620833089512857,0.0009911436253643444
zijinshan,7,0.24817580362754083,0.3907930997770224,0.7398468881330016,0.8037840115724435,0.8912197983967572,0.8607627290419891,0.0009879583809693736
zijinshan,8,0.24261829746303273,0.390817428257928,0.7379446457662076,0.8017264594481276,0.8899535834021086,0.8594035457690157,0.0009842915805643154
zijinshan,9,0.23666016223715314,0.3877659662445979,0.7371502718732472,0.8011587596169655,0.8896037124315904,0.8589277899051425,0.0009801468428384714
zijinshan,10,0.23391344965393865,0.38634094729352353,0.7360636693524634,0.8003825369897662,0.889124972660536,0.8582764832980934,0.0009755282581475767
zijinshan,11,0.2324140456630223,0.3883937921986651,0.7331357231450637,0.7974999016492982,0.8873434718049789,0.8562667721602776,0.0009704403844771127
zijinshan,12,0.2297653240054401,0.4043411516876363,0.7220119495755009,0.7852011564921417,0.8796780728453423,0.8481753625100596,0.0009648882429441257
zijinshan,13,0.22577597512238062,0.4322600762790708,0.7063866855281224,0.767977626195148,0.8687639649014192,0.8367403119463283,0.0009588773128419905
