box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,perturbation,round_index,sample,strength
41,0.8530006408691406,0.059043293531609406,0.030419685990338164,zijinshan,812.8420960001677,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,1,2024_omap_2024_000005,none
4,0.21971893310546875,0.28384765666029455,0.16539770362572526,zijinshan,422.65063199920405,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,2,2024_omap_2024_000021,none
42,0.16407394409179688,0.2818960855958447,0.16407394409179688,zijinshan,1004.8907149994193,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,3,2024_omap_2024_000059,none
6,0.24711227416992188,0.3908544056690833,0.24289561307943716,zijinshan,319.0741510006774,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,4,2024_omap_2024_000066,none
2,0.9170303344726562,0.9566570747610659,0.9169152841497282,zijinshan,253.04524599960132,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,5,2024_omap_2024_000017,none
1,0.6423835754394531,0.7819436594164975,0.6419601732395335,zijinshan,252.5962760009861,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,6,2024_omap_2024_000033,none
1,0.6925430297851562,0.8179999367726026,0.6920472868157816,zijinshan,252.71488500038686,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,7,2024_omap_2024_000011,none
42,0.13314056396484375,0.07891792859690651,0.041079936027546976,zijinshan,2825.208083999314,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,8,2024_omap_2024_000054,none
2,0.4788703918457031,0.6467617695655209,0.47793637145313844,zijinshan,316.4057319991116,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,9,2024_omap_2024_000012,none
1,0.9276275634765625,0.9624529474396678,0.9276234220555528,zijinshan,252.78488599906268,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,10,2024_omap_2024_000029,none
1,0.5748939514160156,0.7292468943533477,0.5738698501801051,zijinshan,252.42211600016162,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,11,2024_omap_2024_000025,none
2,0.9283065795898438,0.9627969768832125,0.9282627946744839,zijinshan,253.52835500052606,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,12,2024_omap_2024_000016,none
42,0.7348861694335938,0.3002054132431126,0.1766127599075884,zijinshan,2554.3149860004633,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,13,2024_omap_2024_000058,none
1,0.9087944030761719,0.9521644922041467,0.9086965321561274,zijinshan,253.1148749985732,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,14,2024_omap_2024_000010,none
2,0.9563941955566406,0.9777095711759074,0.9563912011780594,zijinshan,253.37400500029617,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,15,2024_omap_2024_000014,none
1,0.930389404296875,0.9639117966973203,0.9303375847970407,zijinshan,252.53818499913905,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,16,2024_omap_2024_000018,none
