Accuracy,Delta_Accuracy,Delta_F1,Delta_IoU,Delta_mIoU,F1,avg_boxes,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,head_path,mIoU,metric_type,model,n,perturbation,strength,task_type,veg_IoU
0.8672818581768043,0.0,0.0,,0.0,0.8987444568636689,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.746595570700388,dense segmentation,DINOv2 ViT-L/14 reg + head,67,clean,none,frozen-head segmentation,0.8161089062980615
0.8670566348057271,-0.0002252233710771,-0.0002393384367587,,-0.0002557436625441,0.8985051184269102,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7463398270378439,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,0.70,frozen-head segmentation,0.8157142928741696
0.8671704980412408,-0.0001113601355634,-0.0001406076849498,,-8.82605740381015e-05,0.898603849178719,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7465073101263499,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,0.85,frozen-head segmentation,0.8158770561424741
0.8670190883064738,-0.0002627698703304,-0.0002342524077649,,-0.0003753382318167,0.8985102044559039,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7462202324685712,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,1.15,frozen-head segmentation,0.8157226767698491
0.8667911949621164,-0.0004906632146878,-0.0004484223045468,,-0.0006820711919122,0.898296034559122,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7459134995084757,dense segmentation,DINOv2 ViT-L/14 reg + head,67,brightness,1.30,frozen-head segmentation,0.8153697025131824
0.8670495705014232,-0.000232287675381,-0.000253469429048,,-0.0002524635342131,0.8984909874346209,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7463431071661748,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,0.75,frozen-head segmentation,0.8156909995153505
0.8671575931703863,-0.0001242650064179,-0.0001378614154571,,-0.0001310882777124,0.8986065954482118,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7464644824226755,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,0.90,frozen-head segmentation,0.8158815839412981
0.8672177788180785,-6.407935872576598e-05,-3.5519902156333494e-05,,-0.0001286496735413,0.8987089369615126,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7464669210268466,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,1.10,frozen-head segmentation,0.8160503314009957
0.8668884264890719,-0.0003934316877323,-0.0002611100395564,,-0.000715713748232,0.8984833468241125,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7458798569521559,dense segmentation,DINOv2 ViT-L/14 reg + head,67,contrast,1.25,frozen-head segmentation,0.8156784050732321
0.8668961026622526,-0.0003857555145516,-0.0001184585932396,,-0.0009397195089501,0.8986259982704292,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7456558511914378,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_3,frozen-head segmentation,0.8159135741893753
0.8666779992199228,-0.0006038589568814,-0.0001961307868286,,-0.0014535534042801,0.8985483260768402,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7451420172961079,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_5,frozen-head segmentation,0.8157855195556454
0.8664369785069376,-0.0008448796698666,-0.0002047429562069,,-0.0021585080841284,0.8985397139074619,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7444370626162595,dense segmentation,DINOv2 ViT-L/14 reg + head,67,gaussian_blur,kernel_7,frozen-head segmentation,0.8157713221736366
0.8675994737482665,0.0003176155714622,0.0002315338601066,,0.0005425295998424,0.8989759907237755,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7471381003002304,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,mild,frozen-head segmentation,0.8164908150501928
0.8678415513256751,0.0005596931488708,0.0005113294158171,,0.0007780158322235,0.899255786279486,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7473735865326115,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,moderate,frozen-head segmentation,0.8169525445334868
0.8678578492875733,0.000575991110769,0.0005879566124079,,0.0006934700914869,0.8993324134760768,,,,,zijinshan,/content/vegetation_models_v2/9_DINOv2/four_dataset_runs/zijinshan/best_head.pth,0.7472890407918749,dense segmentation,DINOv2 ViT-L/14 reg + head,67,shadow_illumination,strong,frozen-head segmentation,0.817079038655355
0.8821755594282008,0.0,0.0,,0.0,0.9117939167239562,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7682803746770002,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,clean,none,frozen-head segmentation,0.8378871711312263
