dataset,split,round_index,sample,model,box_count,confidence,box_mask_iou,box_mask_f1,box_mask_accuracy
zijinshan,test,1,2024_omap_2024_000041,nvidia/LocateAnything-3B,42,,0.31502511292921,0.4791164972165339,0.33824920654296875
zijinshan,test,2,2024_omap_2024_000050,nvidia/LocateAnything-3B,9,,0.01874950187295768,0.036808856030824,0.4364128112792969
zijinshan,test,3,2024_omap_2024_000009,nvidia/LocateAnything-3B,3,,0.06895315590798759,0.12901062226514046,0.17766952514648438
zijinshan,test,4,2024_omap_2024_000002,nvidia/LocateAnything-3B,1,,0.019053964534200257,0.037395398472169515,0.022762298583984375
zijinshan,test,5,2024_omap_2024_000028,nvidia/LocateAnything-3B,2,,0.9701483989936204,0.9848480444307504,0.9701728820800781
zijinshan,test,6,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9896797872624539,0.9948131288242389,0.9896812438964844
zijinshan,test,7,2024_omap_2024_000063,nvidia/LocateAnything-3B,39,,0.16162983010073673,0.2782811286564846,0.723480224609375
zijinshan,test,8,2024_omap_2024_000015,nvidia/LocateAnything-3B,2,,0.9794547986493962,0.989620777718884,0.9794578552246094
zijinshan,test,9,2024_omap_2024_000041,nvidia/LocateAnything-3B,2,,0.8868139080529946,0.9400120534071099,0.8868484497070312
zijinshan,test,10,2024_omap_2024_000021,nvidia/LocateAnything-3B,2,,0.9067554310275722,0.9510977824134597,0.9068183898925781
zijinshan,test,11,2024_omap_2024_000032,nvidia/LocateAnything-3B,2,,0.7132588835589233,0.8326340991470977,0.7136001586914062
zijinshan,test,12,2024_omap_2024_000008,nvidia/LocateAnything-3B,7,,0.854239746550375,0.9213908267683307,0.8543281555175781
zijinshan,test,13,2024_omap_2024_000057,nvidia/LocateAnything-3B,1,,0.2663285445449121,0.4206310371699378,0.26828765869140625
zijinshan,test,14,2024_omap_2024_000047,nvidia/LocateAnything-3B,42,,0.8872378756765422,0.9402501794941803,0.8873023986816406
zijinshan,test,15,2024_omap_2024_000039,nvidia/LocateAnything-3B,1,,0.9262577164615302,0.9617173325727505,0.92626953125
zijinshan,test,16,2024_omap_2024_000065,nvidia/LocateAnything-3B,42,,0.31583084420688573,0.48004778972520906,0.9169921875
zijinshan,test,17,2024_omap_2024_000045,nvidia/LocateAnything-3B,18,,0.07005509070373188,0.13093735324909203,0.23050308227539062
zijinshan,test,18,2024_omap_2024_000031,nvidia/LocateAnything-3B,2,,0.9444026789291915,0.9714064778488031,0.9444236755371094
zijinshan,test,19,2024_omap_2024_000009,nvidia/LocateAnything-3B,3,,0.0664180168811019,0.12456281838776742,0.17596817016601562
zijinshan,test,20,2024_omap_2024_000026,nvidia/LocateAnything-3B,1,,0.9722495782088573,0.9859295587648979,0.9722671508789062
zijinshan,test,21,2024_omap_2024_000048,nvidia/LocateAnything-3B,1,,0.734597527768527,0.8469947823730039,0.8449554443359375
zijinshan,test,22,2024_omap_2024_000040,nvidia/LocateAnything-3B,1,,0.9952850341796875,0.9976369462309674,0.9952850341796875
zijinshan,test,23,2024_omap_2024_000061,nvidia/LocateAnything-3B,41,,0.09461235216819974,0.17286914765906364,0.7450523376464844
zijinshan,test,24,2024_omap_2024_000046,nvidia/LocateAnything-3B,42,,0.11753438206185954,0.21034588993138215,0.4622306823730469
zijinshan,test,25,2024_omap_2024_000026,nvidia/LocateAnything-3B,1,,0.9722495782088573,0.9859295587648979,0.9722671508789062
zijinshan,test,26,2024_omap_2024_000012,nvidia/LocateAnything-3B,2,,0.47793637145313844,0.6467617695655209,0.4788703918457031
zijinshan,test,27,2024_omap_2024_000065,nvidia/LocateAnything-3B,5,,0.22359408402774747,0.3654710119090066,0.864227294921875
zijinshan,test,28,2024_omap_2024_000053,nvidia/LocateAnything-3B,42,,0.40501985274887264,0.5765325692109835,0.7136154174804688
zijinshan,test,29,2024_omap_2024_000064,nvidia/LocateAnything-3B,1,,0.1545949917345252,0.2677908579913034,0.1572265625
zijinshan,test,30,2024_omap_2024_000022,nvidia/LocateAnything-3B,2,,0.07051213595935865,0.13173533225976544,0.5351638793945312
zijinshan,test,31,2024_omap_2024_000054,nvidia/LocateAnything-3B,42,,0.11865744163060542,0.21214258666646868,0.19043731689453125
zijinshan,test,32,2024_omap_2024_000061,nvidia/LocateAnything-3B,1,,0.24967276735481203,0.3995810325342938,0.2521400451660156
zijinshan,test,33,2024_omap_2024_000013,nvidia/LocateAnything-3B,2,,0.9491769932106233,0.9739259149033651,0.9491996765136719
zijinshan,test,34,2024_omap_2024_000017,nvidia/LocateAnything-3B,2,,0.9169152841497282,0.9566570747610659,0.9170303344726562
zijinshan,test,35,2024_omap_2024_000045,nvidia/LocateAnything-3B,25,,0.030695922510185443,0.059563488784214344,0.2185821533203125
zijinshan,test,36,2024_omap_2024_000050,nvidia/LocateAnything-3B,41,,0.4684181213378906,0.6379901126677872,0.4684181213378906
zijinshan,test,37,2024_omap_2024_000007,nvidia/LocateAnything-3B,1,,0.9218223624405112,0.9593210907067334,0.9219207763671875
zijinshan,test,38,2024_omap_2024_000007,nvidia/LocateAnything-3B,1,,0.9218223624405112,0.9593210907067334,0.9219207763671875
zijinshan,test,39,2024_omap_2024_000045,nvidia/LocateAnything-3B,35,,0.7893300963872798,0.8822632536958551,0.7993965148925781
zijinshan,test,40,2024_omap_2024_000051,nvidia/LocateAnything-3B,10,,0.7801094055175781,0.8764735505577045,0.7801094055175781
zijinshan,test,41,2024_omap_2024_000051,nvidia/LocateAnything-3B,6,,0.7800507895289558,0.876436553515842,0.7802848815917969
zijinshan,test,42,2024_omap_2024_000059,nvidia/LocateAnything-3B,42,,0.044950916702757325,0.08603450360060097,0.7981071472167969
zijinshan,test,43,2024_omap_2024_000007,nvidia/LocateAnything-3B,1,,0.9218223624405112,0.9593210907067334,0.9219207763671875
zijinshan,test,44,2024_omap_2024_000004,nvidia/LocateAnything-3B,37,,0.7250747794768488,0.8406299693242715,0.7251167297363281
zijinshan,test,45,2024_omap_2024_000042,nvidia/LocateAnything-3B,2,,0.9921646118164062,0.9960668972146586,0.9921646118164062
zijinshan,test,46,2024_omap_2024_000048,nvidia/LocateAnything-3B,3,,0.5811587484360435,0.7351048704133972,0.6794700622558594
zijinshan,test,47,2024_omap_2024_000054,nvidia/LocateAnything-3B,42,,0.04686125583598349,0.08952715667858369,0.14023208618164062
zijinshan,test,48,2024_omap_2024_000027,nvidia/LocateAnything-3B,2,,0.9151749428559436,0.9557089771561215,0.9152030944824219
zijinshan,test,49,2024_omap_2024_000051,nvidia/LocateAnything-3B,19,,0.6999133961568472,0.8234694752558651,0.7329940795898438
zijinshan,test,50,2024_omap_2024_000014,nvidia/LocateAnything-3B,2,,0.9563912011780594,0.9777095711759074,0.9563941955566406
zijinshan,test,51,2024_omap_2024_000039,nvidia/LocateAnything-3B,1,,0.9262577164615302,0.9617173325727505,0.92626953125
zijinshan,test,52,2024_omap_2024_000024,nvidia/LocateAnything-3B,1,,0.006383483193200678,0.01268598561046775,0.5843582153320312
zijinshan,test,53,2024_omap_2024_000024,nvidia/LocateAnything-3B,1,,0.0034197231392146493,0.006816136977088692,0.5831184387207031
zijinshan,test,54,2024_omap_2024_000056,nvidia/LocateAnything-3B,41,,0.09051504610816727,0.16600421320402242,0.6798324584960938
zijinshan,test,55,2024_omap_2024_000006,nvidia/LocateAnything-3B,41,,0.07644633740137058,0.14203464630836737,0.8709602355957031
zijinshan,test,56,2024_omap_2024_000054,nvidia/LocateAnything-3B,41,,0.24811803673592292,0.39758745476477686,0.29512786865234375
zijinshan,test,57,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9914698162729659,0.9957166392092257,0.9914703369140625
zijinshan,test,58,2024_omap_2024_000060,nvidia/LocateAnything-3B,6,,0.178070068359375,0.3023081107685931,0.178070068359375
zijinshan,test,59,2024_omap_2024_000041,nvidia/LocateAnything-3B,17,,0.8205191953886698,0.9014122976203983,0.8209991455078125
zijinshan,test,60,2024_omap_2024_000052,nvidia/LocateAnything-3B,18,,0.4863974691404644,0.6544648779868177,0.5330390930175781
zijinshan,test,61,2024_omap_2024_000013,nvidia/LocateAnything-3B,2,,0.9491769932106233,0.9739259149033651,0.9491996765136719
zijinshan,test,62,2024_omap_2024_000022,nvidia/LocateAnything-3B,1,,0.4952682352581449,0.6624473436669257,0.496246337890625
zijinshan,test,63,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9896797872624539,0.9948131288242389,0.9896812438964844
zijinshan,test,64,2024_omap_2024_000027,nvidia/LocateAnything-3B,2,,0.9151749428559436,0.9557089771561215,0.9152030944824219
zijinshan,test,65,2024_omap_2024_000040,nvidia/LocateAnything-3B,1,,0.9952850341796875,0.9976369462309674,0.9952850341796875
zijinshan,test,66,2024_omap_2024_000038,nvidia/LocateAnything-3B,2,,0.9531295909762156,0.9760024069880804,0.9531440734863281
zijinshan,test,67,2024_omap_2024_000020,nvidia/LocateAnything-3B,1,,0.9685296272552432,0.9840132592829519,0.9685401916503906
zijinshan,test,68,2024_omap_2024_000024,nvidia/LocateAnything-3B,2,,0.416280021573075,0.5878498817073039,0.41785430908203125
zijinshan,test,69,2024_omap_2024_000009,nvidia/LocateAnything-3B,3,,0.07240144590008983,0.13502675919897092,0.16890716552734375
zijinshan,test,70,2024_omap_2024_000000,nvidia/LocateAnything-3B,23,,0.06790469828545981,0.12717370453465,0.6007881164550781
