Model,Dataset,Perturbation,Strength,mIoU,F1,Accuracy,Delta_mIoU,Delta_F1,Delta_Accuracy
SAM2-Tiny,2024-seg fixed subset (n=32),clean,none,0.7657,0.9047,0.8772,0.0000,0.0000,0.0000
SAM2-Tiny,2024-seg fixed subset (n=32),brightness,0.70,0.7642,0.9039,0.8762,-0.0015,-0.0008,-0.0010
SAM2-Tiny,2024-seg fixed subset (n=32),brightness,0.85,0.7654,0.9044,0.8769,-0.0002,-0.0003,-0.0002
SAM2-Tiny,2024-seg fixed subset (n=32),brightness,1.15,0.7658,0.9047,0.8772,0.0001,-0.0001,0.0000
SAM2-Tiny,2024-seg fixed subset (n=32),brightness,1.30,0.7654,0.9043,0.8768,-0.0003,-0.0004,-0.0003
SAM2-Tiny,2024-seg fixed subset (n=32),contrast,0.75,0.7675,0.9052,0.8781,0.0019,0.0005,0.0009
SAM2-Tiny,2024-seg fixed subset (n=32),contrast,0.90,0.7665,0.9050,0.8776,0.0009,0.0003,0.0004
SAM2-Tiny,2024-seg fixed subset (n=32),contrast,1.10,0.7656,0.9049,0.8772,-0.0000,0.0002,0.0001
SAM2-Tiny,2024-seg fixed subset (n=32),contrast,1.25,0.7657,0.9051,0.8774,0.0001,0.0004,0.0002
SAM2-Tiny,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.7593,0.9029,0.8740,-0.0064,-0.0018,-0.0032
SAM2-Tiny,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.7564,0.9015,0.8722,-0.0093,-0.0033,-0.0050
SAM2-Tiny,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.7534,0.8990,0.8698,-0.0122,-0.0057,-0.0073
SAM2-Tiny,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7667,0.9050,0.8777,0.0010,0.0003,0.0005
SAM2-Tiny,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7667,0.9049,0.8776,0.0010,0.0002,0.0005
SAM2-Tiny,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7663,0.9047,0.8774,0.0007,0.0000,0.0002
MobileSAM,2024-seg fixed subset (n=32),clean,none,0.7186,0.8854,0.8499,0.0000,0.0000,0.0000
MobileSAM,2024-seg fixed subset (n=32),brightness,0.70,0.7190,0.8854,0.8501,0.0004,0.0001,0.0002
MobileSAM,2024-seg fixed subset (n=32),brightness,0.85,0.7175,0.8851,0.8493,-0.0011,-0.0003,-0.0006
MobileSAM,2024-seg fixed subset (n=32),brightness,1.15,0.7223,0.8867,0.8520,0.0037,0.0013,0.0021
MobileSAM,2024-seg fixed subset (n=32),brightness,1.30,0.7244,0.8868,0.8528,0.0058,0.0014,0.0029
MobileSAM,2024-seg fixed subset (n=32),contrast,0.75,0.7139,0.8826,0.8466,-0.0047,-0.0028,-0.0033
MobileSAM,2024-seg fixed subset (n=32),contrast,0.90,0.7185,0.8853,0.8498,-0.0002,-0.0001,-0.0001
MobileSAM,2024-seg fixed subset (n=32),contrast,1.10,0.7171,0.8852,0.8492,-0.0015,-0.0002,-0.0007
MobileSAM,2024-seg fixed subset (n=32),contrast,1.25,0.7153,0.8850,0.8485,-0.0033,-0.0004,-0.0014
MobileSAM,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.7196,0.8860,0.8506,0.0010,0.0006,0.0007
MobileSAM,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.7101,0.8809,0.8443,-0.0085,-0.0045,-0.0056
MobileSAM,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.6834,0.8691,0.8279,-0.0352,-0.0163,-0.0221
MobileSAM,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7184,0.8852,0.8497,-0.0003,-0.0002,-0.0002
MobileSAM,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7184,0.8851,0.8497,-0.0002,-0.0003,-0.0003
MobileSAM,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7172,0.8844,0.8489,-0.0014,-0.0010,-0.0010
MobileSAMV2,2024-seg fixed subset (n=32),clean,none,0.7492,0.8923,0.8648,0.0000,0.0000,0.0000
MobileSAMV2,2024-seg fixed subset (n=32),brightness,0.70,0.7494,0.8924,0.8650,0.0002,0.0001,0.0001
MobileSAMV2,2024-seg fixed subset (n=32),brightness,0.85,0.7487,0.8921,0.8646,-0.0005,-0.0002,-0.0003
MobileSAMV2,2024-seg fixed subset (n=32),brightness,1.15,0.7506,0.8930,0.8657,0.0014,0.0007,0.0008
MobileSAMV2,2024-seg fixed subset (n=32),brightness,1.30,0.7516,0.8935,0.8663,0.0024,0.0012,0.0015
MobileSAMV2,2024-seg fixed subset (n=32),contrast,0.75,0.7466,0.8907,0.8631,-0.0026,-0.0016,-0.0018
MobileSAMV2,2024-seg fixed subset (n=32),contrast,0.90,0.7494,0.8924,0.8649,0.0002,0.0001,0.0001
MobileSAMV2,2024-seg fixed subset (n=32),contrast,1.10,0.7509,0.8936,0.8661,0.0017,0.0013,0.0013
MobileSAMV2,2024-seg fixed subset (n=32),contrast,1.25,0.7525,0.8950,0.8674,0.0033,0.0027,0.0026
MobileSAMV2,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.7589,0.8999,0.8722,0.0097,0.0076,0.0074
MobileSAMV2,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.7500,0.8965,0.8673,0.0008,0.0042,0.0024
MobileSAMV2,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.7189,0.8846,0.8496,-0.0303,-0.0077,-0.0153
MobileSAMV2,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7483,0.8919,0.8643,-0.0009,-0.0004,-0.0006
MobileSAMV2,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7479,0.8917,0.8641,-0.0013,-0.0006,-0.0008
MobileSAMV2,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7471,0.8912,0.8635,-0.0021,-0.0011,-0.0013
YOLO11s-seg,2024-seg fixed subset (n=32),clean,none,0.7465,0.8957,0.8655,0.0000,0.0000,0.0000
YOLO11s-seg,2024-seg fixed subset (n=32),brightness,0.70,0.7425,0.8938,0.8631,-0.0040,-0.0019,-0.0024
YOLO11s-seg,2024-seg fixed subset (n=32),brightness,0.85,0.7443,0.8946,0.8642,-0.0021,-0.0010,-0.0013
YOLO11s-seg,2024-seg fixed subset (n=32),brightness,1.15,0.7481,0.8963,0.8664,0.0016,0.0006,0.0009
YOLO11s-seg,2024-seg fixed subset (n=32),brightness,1.30,0.7504,0.8971,0.8677,0.0039,0.0014,0.0022
YOLO11s-seg,2024-seg fixed subset (n=32),contrast,0.75,0.7474,0.8957,0.8659,0.0009,0.0000,0.0004
YOLO11s-seg,2024-seg fixed subset (n=32),contrast,0.90,0.7475,0.8960,0.8660,0.0011,0.0003,0.0005
YOLO11s-seg,2024-seg fixed subset (n=32),contrast,1.10,0.7471,0.8961,0.8660,0.0006,0.0005,0.0005
YOLO11s-seg,2024-seg fixed subset (n=32),contrast,1.25,0.7488,0.8972,0.8672,0.0023,0.0015,0.0017
YOLO11s-seg,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.7346,0.8901,0.8583,-0.0119,-0.0056,-0.0073
YOLO11s-seg,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.7115,0.8802,0.8444,-0.0349,-0.0155,-0.0211
YOLO11s-seg,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.6891,0.8691,0.8300,-0.0573,-0.0266,-0.0355
YOLO11s-seg,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7463,0.8955,0.8654,-0.0002,-0.0002,-0.0001
YOLO11s-seg,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7452,0.8949,0.8647,-0.0012,-0.0008,-0.0009
YOLO11s-seg,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7447,0.8947,0.8644,-0.0018,-0.0010,-0.0012
UNet,2024-seg fixed subset (n=32),clean,none,0.7390,0.8865,0.8582,0.0000,0.0000,0.0000
UNet,2024-seg fixed subset (n=32),brightness,0.70,0.7546,0.8990,0.8702,0.0156,0.0125,0.0121
UNet,2024-seg fixed subset (n=32),brightness,0.85,0.7521,0.8953,0.8674,0.0131,0.0088,0.0092
UNet,2024-seg fixed subset (n=32),brightness,1.15,0.6987,0.8591,0.8294,-0.0403,-0.0274,-0.0288
UNet,2024-seg fixed subset (n=32),brightness,1.30,0.6367,0.8106,0.7821,-0.1023,-0.0760,-0.0760
UNet,2024-seg fixed subset (n=32),contrast,0.75,0.7307,0.8788,0.8513,-0.0083,-0.0078,-0.0068
UNet,2024-seg fixed subset (n=32),contrast,0.90,0.7469,0.8903,0.8630,0.0079,0.0038,0.0049
UNet,2024-seg fixed subset (n=32),contrast,1.10,0.7268,0.8795,0.8500,-0.0122,-0.0070,-0.0081
UNet,2024-seg fixed subset (n=32),contrast,1.25,0.7009,0.8628,0.8319,-0.0381,-0.0237,-0.0263
UNet,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.7550,0.8979,0.8698,0.0160,0.0114,0.0116
UNet,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.7455,0.8923,0.8635,0.0065,0.0058,0.0053
UNet,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.6911,0.8548,0.8242,-0.0479,-0.0317,-0.0339
UNet,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7467,0.8916,0.8635,0.0077,0.0050,0.0054
UNet,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7499,0.8938,0.8658,0.0109,0.0072,0.0077
UNet,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7515,0.8951,0.8671,0.0125,0.0086,0.0089
DeepLabV3+,2024-seg fixed subset (n=32),clean,none,0.7167,0.8808,0.8467,0.0000,0.0000,0.0000
DeepLabV3+,2024-seg fixed subset (n=32),brightness,0.70,0.6873,0.8760,0.8334,-0.0294,-0.0048,-0.0133
DeepLabV3+,2024-seg fixed subset (n=32),brightness,0.85,0.7117,0.8810,0.8450,-0.0049,0.0003,-0.0017
DeepLabV3+,2024-seg fixed subset (n=32),brightness,1.15,0.7075,0.8740,0.8397,-0.0091,-0.0068,-0.0070
DeepLabV3+,2024-seg fixed subset (n=32),brightness,1.30,0.6960,0.8657,0.8310,-0.0207,-0.0151,-0.0157
DeepLabV3+,2024-seg fixed subset (n=32),contrast,0.75,0.7053,0.8761,0.8399,-0.0114,-0.0046,-0.0067
DeepLabV3+,2024-seg fixed subset (n=32),contrast,0.90,0.7176,0.8813,0.8473,0.0009,0.0005,0.0006
DeepLabV3+,2024-seg fixed subset (n=32),contrast,1.10,0.7163,0.8809,0.8466,-0.0004,0.0001,-0.0001
DeepLabV3+,2024-seg fixed subset (n=32),contrast,1.25,0.7161,0.8812,0.8467,-0.0006,0.0005,0.0000
DeepLabV3+,2024-seg fixed subset (n=32),gaussian_blur,kernel_3,0.6394,0.8476,0.7988,-0.0773,-0.0332,-0.0479
DeepLabV3+,2024-seg fixed subset (n=32),gaussian_blur,kernel_5,0.5885,0.8238,0.7646,-0.1282,-0.0570,-0.0821
DeepLabV3+,2024-seg fixed subset (n=32),gaussian_blur,kernel_7,0.4750,0.7281,0.6605,-0.2416,-0.1526,-0.1861
DeepLabV3+,2024-seg fixed subset (n=32),shadow_illumination,mild,0.7163,0.8816,0.8470,-0.0003,0.0009,0.0003
DeepLabV3+,2024-seg fixed subset (n=32),shadow_illumination,moderate,0.7116,0.8805,0.8447,-0.0050,-0.0003,-0.0020
DeepLabV3+,2024-seg fixed subset (n=32),shadow_illumination,strong,0.7064,0.8790,0.8419,-0.0102,-0.0018,-0.0047
