Model,Dataset,Perturbation,Strength,mIoU,F1,Accuracy,Delta_mIoU,Delta_F1,Delta_Accuracy
SAM2-Tiny,2024-seg fixed subset (n=4),clean,none,0.7806,0.8091,0.9055,0.0000,0.0000,0.0000
SAM2-Tiny,2024-seg fixed subset (n=4),brightness,0.70,0.7736,0.8031,0.9012,-0.0069,-0.0060,-0.0043
SAM2-Tiny,2024-seg fixed subset (n=4),contrast,0.75,0.7822,0.8100,0.9068,0.0016,0.0010,0.0013
SAM2-Tiny,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.7743,0.8032,0.9019,-0.0063,-0.0058,-0.0036
SAM2-Tiny,2024-seg fixed subset (n=4),shadow_illumination,strong,0.7786,0.8071,0.9045,-0.0019,-0.0020,-0.0009
MobileSAM,2024-seg fixed subset (n=4),clean,none,0.7072,0.7299,0.8683,0.0000,0.0000,0.0000
MobileSAM,2024-seg fixed subset (n=4),brightness,0.70,0.6925,0.7171,0.8574,-0.0148,-0.0128,-0.0109
MobileSAM,2024-seg fixed subset (n=4),contrast,0.75,0.6776,0.6994,0.8495,-0.0296,-0.0305,-0.0188
MobileSAM,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.6429,0.6597,0.8280,-0.0644,-0.0702,-0.0403
MobileSAM,2024-seg fixed subset (n=4),shadow_illumination,strong,0.6934,0.7129,0.8616,-0.0138,-0.0170,-0.0067
MobileSAMV2,2024-seg fixed subset (n=4),clean,none,0.7463,0.7632,0.8963,0.0000,0.0000,0.0000
MobileSAMV2,2024-seg fixed subset (n=4),brightness,0.70,0.7356,0.7487,0.8931,-0.0107,-0.0146,-0.0031
MobileSAMV2,2024-seg fixed subset (n=4),contrast,0.75,0.7141,0.7211,0.8845,-0.0322,-0.0421,-0.0118
MobileSAMV2,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.7333,0.7587,0.8822,-0.0130,-0.0046,-0.0141
MobileSAMV2,2024-seg fixed subset (n=4),shadow_illumination,strong,0.7252,0.7372,0.8877,-0.0211,-0.0260,-0.0086
YOLO11s-seg,2024-seg fixed subset (n=4),clean,none,0.7926,0.8188,0.9132,0.0000,0.0000,0.0000
YOLO11s-seg,2024-seg fixed subset (n=4),brightness,0.70,0.7852,0.8115,0.9095,-0.0075,-0.0073,-0.0037
YOLO11s-seg,2024-seg fixed subset (n=4),contrast,0.75,0.7977,0.8237,0.9158,0.0051,0.0049,0.0026
YOLO11s-seg,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.7097,0.7332,0.8693,-0.0829,-0.0857,-0.0439
YOLO11s-seg,2024-seg fixed subset (n=4),shadow_illumination,strong,0.7871,0.8133,0.9105,-0.0055,-0.0055,-0.0027
UNet,2024-seg fixed subset (n=4),clean,none,0.7791,0.8041,0.9075,0.0000,0.0000,0.0000
UNet,2024-seg fixed subset (n=4),brightness,0.70,0.7694,0.7965,0.9008,-0.0097,-0.0075,-0.0067
UNet,2024-seg fixed subset (n=4),contrast,0.75,0.6681,0.6578,0.8659,-0.1110,-0.1462,-0.0417
UNet,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.5940,0.5502,0.8285,-0.1851,-0.2538,-0.0790
UNet,2024-seg fixed subset (n=4),shadow_illumination,strong,0.7793,0.8050,0.9071,0.0002,0.0010,-0.0005
DeepLabV3+,2024-seg fixed subset (n=4),clean,none,0.7774,0.8001,0.9085,0.0000,0.0000,0.0000
DeepLabV3+,2024-seg fixed subset (n=4),brightness,0.70,0.7269,0.7582,0.8742,-0.0506,-0.0419,-0.0344
DeepLabV3+,2024-seg fixed subset (n=4),contrast,0.75,0.7129,0.7240,0.8805,-0.0646,-0.0761,-0.0280
DeepLabV3+,2024-seg fixed subset (n=4),gaussian_blur,kernel_7,0.3956,0.4414,0.5880,-0.3819,-0.3587,-0.3205
DeepLabV3+,2024-seg fixed subset (n=4),shadow_illumination,strong,0.7311,0.7516,0.8845,-0.0464,-0.0485,-0.0240
